A_X,A_Y,A_Z,B_X,B_Y,B_Z,C_X,C_Y,C_Z,Predict Time
1650.0,880.0,1220.0,187.5,2647.5,482.0,824.64,1702.47,706.49,2.291890859603882
1650.0,880.0,1220.0,187.5,2647.5,482.0,1007.48,1790.39,706.08,2.334510564804077
1650.0,880.0,1220.0,187.5,2647.5,482.0,935.78,1485.58,809.37,2.3465631008148193
1650.0,880.0,1220.0,187.5,2647.5,482.0,715.67,1684.12,882.68,2.35044264793396
1650.0,880.0,1220.0,187.5,2647.5,482.0,1000.14,1438.72,816.19,2.359212636947632
1650.0,880.0,1220.0,187.5,2647.5,482.0,1011.4,1838.0,766.46,2.3664205074310303
1650.0,880.0,1220.0,187.5,2647.5,482.0,1033.5,1567.26,819.19,2.376298666000366
1650.0,880.0,1220.0,187.5,2647.5,482.0,533.65,1421.17,1089.59,2.3910958766937256
1650.0,880.0,1220.0,187.5,2647.5,482.0,876.12,1703.34,912.72,2.397552251815796
1650.0,880.0,1220.0,187.5,2647.5,482.0,991.96,1879.08,855.52,2.4067342281341553
1670.0,-880.0,1205.0,135.0,-2600.0,467.0,711.44,-1695.53,820.79,2.2971150875091553
1670.0,-880.0,1205.0,135.0,-2600.0,467.0,814.13,-1930.65,827.07,2.3041131496429443
1670.0,-880.0,1205.0,135.0,-2600.0,467.0,811.62,-1365.79,760.35,2.312070608139038
1670.0,-880.0,1205.0,135.0,-2600.0,467.0,511.51,-2198.67,1039.05,2.3229100704193115
1670.0,-880.0,1205.0,135.0,-2600.0,467.0,960.32,-1508.66,748.01,2.326444387435913
1670.0,-880.0,1205.0,135.0,-2600.0,467.0,982.54,-1639.12,758.66,2.3264710903167725
1670.0,-880.0,1205.0,135.0,-2600.0,467.0,831.28,-2476.83,964.15,2.3328568935394287
1670.0,-880.0,1205.0,135.0,-2600.0,467.0,1109.31,-1795.92,750.74,2.336942434310913
1670.0,-880.0,1205.0,135.0,-2600.0,467.0,701.58,-1640.27,916.82,2.3433358669281006
1670.0,-880.0,1205.0,135.0,-2600.0,467.0,1070.57,-1939.25,835.34,2.3584306240081787
1650.0,880.0,1220.0,425.0,2647.5,482.0,868.19,1290.51,842.01,2.2587697505950928
1650.0,880.0,1220.0,425.0,2647.5,482.0,1087.44,1841.41,693.12,2.2719686031341553
1650.0,880.0,1220.0,425.0,2647.5,482.0,946.03,1874.45,809.73,2.300300359725952
1650.0,880.0,1220.0,425.0,2647.5,482.0,966.21,1981.43,794.91,2.3045060634613037
1650.0,880.0,1220.0,425.0,2647.5,482.0,823.7,1868.98,894.93,2.3148248195648193
1650.0,880.0,1220.0,425.0,2647.5,482.0,882.66,1670.49,914.0,2.3215138912200928
1650.0,880.0,1220.0,425.0,2647.5,482.0,845.32,1590.07,992.55,2.344573736190796
1650.0,880.0,1220.0,425.0,2647.5,482.0,1105.78,1810.62,876.45,2.3584306240081787
1650.0,880.0,1220.0,425.0,2647.5,482.0,1023.52,1254.87,1003.22,2.3617818355560303
1650.0,880.0,1220.0,425.0,2647.5,482.0,982.11,2095.41,902.4,2.3655622005462646
1670.0,-880.0,1205.0,375.0,-2600.0,467.0,801.63,-1886.16,815.97,2.223130941390991
1670.0,-880.0,1205.0,375.0,-2600.0,467.0,849.54,-1405.94,769.93,2.2447011470794678
1670.0,-880.0,1205.0,375.0,-2600.0,467.0,1024.0,-1786.58,777.52,2.2568013668060303
1670.0,-880.0,1205.0,375.0,-2600.0,467.0,749.21,-1577.77,896.32,2.2712018489837646
1670.0,-880.0,1205.0,375.0,-2600.0,467.0,1028.22,-2092.99,857.31,2.2732484340667725
1670.0,-880.0,1205.0,375.0,-2600.0,467.0,688.95,-1620.46,957.58,2.2846219539642334
1670.0,-880.0,1205.0,375.0,-2600.0,467.0,1003.28,-1756.24,844.79,2.285705327987671
1670.0,-880.0,1205.0,375.0,-2600.0,467.0,842.1,-1479.48,882.64,2.2904908657073975
1670.0,-880.0,1205.0,375.0,-2600.0,467.0,993.19,-1508.66,832.32,2.2951619625091553
1670.0,-880.0,1205.0,375.0,-2600.0,467.0,1184.48,-2050.23,837.6,2.298299551010132
1650.0,880.0,1220.0,662.5,2647.5,482.0,857.4,1257.46,799.73,2.1592299938201904
1650.0,880.0,1220.0,662.5,2647.5,482.0,1335.29,1814.42,596.07,2.198972463607788
1650.0,880.0,1220.0,662.5,2647.5,482.0,946.23,1458.84,843.04,2.2109715938568115
1650.0,880.0,1220.0,662.5,2647.5,482.0,980.85,1635.08,805.18,2.2122437953948975
1650.0,880.0,1220.0,662.5,2647.5,482.0,1099.34,1394.24,865.82,2.247277021408081
1650.0,880.0,1220.0,662.5,2647.5,482.0,1203.92,1503.01,819.04,2.2543227672576904
1650.0,880.0,1220.0,662.5,2647.5,482.0,1090.26,1778.97,831.97,2.2569377422332764
1650.0,880.0,1220.0,662.5,2647.5,482.0,939.45,1825.81,924.57,2.2723119258880615
1650.0,880.0,1220.0,662.5,2647.5,482.0,1164.47,1351.24,903.3,2.2748124599456787
1650.0,880.0,1220.0,662.5,2647.5,482.0,1320.98,1567.33,809.71,2.2777440547943115
1670.0,-880.0,1205.0,825.0,-2600.0,467.0,1151.11,-1848.49,593.76,2.0492074489593506
1670.0,-880.0,1205.0,825.0,-2600.0,467.0,1305.53,-2246.22,643.83,2.075551748275757
1670.0,-880.0,1205.0,825.0,-2600.0,467.0,1207.77,-1959.44,793.91,2.145332098007202
1670.0,-880.0,1205.0,825.0,-2600.0,467.0,1283.76,-1843.82,782.34,2.163299322128296
1670.0,-880.0,1205.0,825.0,-2600.0,467.0,1272.88,-1727.54,836.29,2.1939961910247803
1670.0,-880.0,1205.0,825.0,-2600.0,467.0,1033.89,-1778.13,962.51,2.201169729232788
1670.0,-880.0,1205.0,825.0,-2600.0,467.0,1486.88,-2115.25,839.74,2.211303472518921
1670.0,-880.0,1205.0,825.0,-2600.0,467.0,1358.55,-1531.36,812.25,2.213622808456421
1670.0,-880.0,1205.0,825.0,-2600.0,467.0,1146.83,-1764.3,952.28,2.219938039779663
1670.0,-880.0,1205.0,825.0,-2600.0,467.0,1336.73,-1798.84,909.13,2.2355153560638428
1650.0,880.0,1220.0,950.0,2710.0,482.0,1314.45,2107.83,782.76,2.213547468185425
1650.0,880.0,1220.0,950.0,2710.0,482.0,1311.43,2022.65,823.69,2.226221799850464
1650.0,880.0,1220.0,950.0,2710.0,482.0,1319.28,1665.48,901.31,2.2384793758392334
1650.0,880.0,1220.0,950.0,2710.0,482.0,1217.86,1760.83,934.53,2.240731954574585
1650.0,880.0,1220.0,950.0,2710.0,482.0,1355.46,1812.73,873.6,2.243396520614624
1650.0,880.0,1220.0,950.0,2710.0,482.0,1328.63,1860.28,878.79,2.2438228130340576
1650.0,880.0,1220.0,950.0,2710.0,482.0,1233.28,1769.47,961.69,2.2566287517547607
1650.0,880.0,1220.0,950.0,2710.0,482.0,1235.33,1734.01,970.21,2.2582614421844482
1650.0,880.0,1220.0,950.0,2710.0,482.0,1180.49,1955.68,963.45,2.259739637374878
1650.0,880.0,1220.0,950.0,2710.0,482.0,1221.67,1581.13,1002.44,2.259941816329956
1670.0,-880.0,1205.0,1065.0,-2600.0,467.0,1340.69,-2382.83,736.05,2.039275884628296
1670.0,-880.0,1205.0,1065.0,-2600.0,467.0,1376.68,-1881.89,669.85,2.050687551498413
1670.0,-880.0,1205.0,1065.0,-2600.0,467.0,1364.54,-1794.34,713.03,2.0741727352142334
1670.0,-880.0,1205.0,1065.0,-2600.0,467.0,1295.0,-1687.51,867.8,2.139190435409546
1670.0,-880.0,1205.0,1065.0,-2600.0,467.0,1412.53,-1659.54,824.56,2.1445538997650146
1670.0,-880.0,1205.0,1065.0,-2600.0,467.0,1403.6,-1823.66,878.87,2.156724691390991
1670.0,-880.0,1205.0,1065.0,-2600.0,467.0,1301.89,-1664.31,901.96,2.158019781112671
1670.0,-880.0,1205.0,1065.0,-2600.0,467.0,1296.54,-1691.45,910.1,2.158801794052124
1670.0,-880.0,1205.0,1065.0,-2600.0,467.0,1337.43,-1830.81,927.47,2.165147542953491
1670.0,-880.0,1205.0,1065.0,-2600.0,467.0,1204.03,-1516.59,939.94,2.1662347316741943
1650.0,880.0,1220.0,250.0,2360.0,482.0,600.1,1474.64,775.08,2.2255589962005615
1650.0,880.0,1220.0,250.0,2360.0,482.0,1120.83,1493.56,694.64,2.293813467025757
1650.0,880.0,1220.0,250.0,2360.0,482.0,773.34,1497.96,907.58,2.3228681087493896
1650.0,880.0,1220.0,250.0,2360.0,482.0,837.84,1878.01,850.82,2.335836172103882
1650.0,880.0,1220.0,250.0,2360.0,482.0,613.82,1646.42,984.23,2.3367269039154053
1650.0,880.0,1220.0,250.0,2360.0,482.0,851.78,1658.13,909.13,2.3505170345306396
1650.0,880.0,1220.0,250.0,2360.0,482.0,856.29,1330.65,969.08,2.356281042098999
1650.0,880.0,1220.0,250.0,2360.0,482.0,880.97,1640.5,939.85,2.369065999984741
1650.0,880.0,1220.0,250.0,2360.0,482.0,1054.5,1813.2,846.94,2.3727986812591553
1650.0,880.0,1220.0,250.0,2360.0,482.0,580.15,1874.78,1046.86,2.3745973110198975
1670.0,-880.0,1205.0,210.0,-2285.0,467.0,712.89,-1801.9,801.97,2.2765862941741943
1670.0,-880.0,1205.0,210.0,-2285.0,467.0,616.06,-1979.59,951.43,2.313741445541382
1670.0,-880.0,1205.0,210.0,-2285.0,467.0,897.15,-1812.78,824.56,2.323371648788452
1670.0,-880.0,1205.0,210.0,-2285.0,467.0,1250.17,-1542.58,681.76,2.346168279647827
1670.0,-880.0,1205.0,210.0,-2285.0,467.0,1075.38,-1727.11,795.44,2.351186513900757
1670.0,-880.0,1205.0,210.0,-2285.0,467.0,774.17,-1280.86,876.01,2.359140157699585
1670.0,-880.0,1205.0,210.0,-2285.0,467.0,621.07,-1540.83,982.98,2.3600118160247803
1670.0,-880.0,1205.0,210.0,-2285.0,467.0,690.18,-1862.11,1032.12,2.374101400375366
1670.0,-880.0,1205.0,210.0,-2285.0,467.0,523.94,-1435.91,1042.99,2.3754003047943115
1670.0,-880.0,1205.0,210.0,-2285.0,467.0,1087.12,-1722.51,845.24,2.376941442489624
1650.0,880.0,1220.0,600.0,2360.0,482.0,819.8,1430.9,768.44,2.1515109539031982
1650.0,880.0,1220.0,600.0,2360.0,482.0,933.85,1303.63,863.14,2.2092111110687256
1650.0,880.0,1220.0,600.0,2360.0,482.0,1270.4,1855.82,681.47,2.2314298152923584
1650.0,880.0,1220.0,600.0,2360.0,482.0,1180.49,1316.5,803.81,2.2318685054779053
1650.0,880.0,1220.0,600.0,2360.0,482.0,1102.17,1539.17,856.59,2.2563865184783936
1650.0,880.0,1220.0,600.0,2360.0,482.0,1112.68,1475.39,865.92,2.2586162090301514
1650.0,880.0,1220.0,600.0,2360.0,482.0,1153.2,1874.89,837.91,2.281061887741089
1650.0,880.0,1220.0,600.0,2360.0,482.0,992.59,1597.18,959.25,2.285836935043335
1650.0,880.0,1220.0,600.0,2360.0,482.0,1073.2,1620.94,925.89,2.288255453109741
1650.0,880.0,1220.0,600.0,2360.0,482.0,1013.33,1723.95,937.3,2.2887046337127686
1670.0,-880.0,1205.0,600.0,-2285.0,467.0,1116.35,-1510.53,744.04,2.226327657699585
1670.0,-880.0,1205.0,600.0,-2285.0,467.0,1116.07,-1482.62,741.65,2.227132558822632
1670.0,-880.0,1205.0,600.0,-2285.0,467.0,1131.19,-2027.94,851.08,2.2425591945648193
1670.0,-880.0,1205.0,600.0,-2285.0,467.0,1316.85,-1627.64,712.48,2.2433526515960693
1670.0,-880.0,1205.0,600.0,-2285.0,467.0,1176.54,-1582.11,781.76,2.250640630722046
1670.0,-880.0,1205.0,600.0,-2285.0,467.0,1178.87,-1589.5,787.35,2.253011465072632
1670.0,-880.0,1205.0,600.0,-2285.0,467.0,1131.63,-1536.25,823.4,2.264350652694702
1670.0,-880.0,1205.0,600.0,-2285.0,467.0,958.04,-2008.49,987.4,2.272268056869507
1670.0,-880.0,1205.0,600.0,-2285.0,467.0,1062.97,-1282.96,851.71,2.281083822250366
