A_X,A_Y,A_Z,B_X,B_Y,B_Z,C_X,C_Y,C_Z,Time
1650.0,880.0,1220.0,187.5,2647.5,482.0,770.2,2004.64,1102.54,2.488
1670.0,-880.0,1205.0,135.0,-2600.0,467.0,607.93,-1742.1,941.06,2.336
1650.0,880.0,1220.0,425.0,2647.5,482.0,802.61,1614.33,1121.96,2.488
1670.0,-880.0,1205.0,375.0,-2600.0,467.0,1214.05,-1584.09,1113.68,2.376
1650.0,880.0,1220.0,662.5,2647.5,482.0,1013.12,1799.32,1052.1,2.344
1670.0,-880.0,1205.0,825.0,-2600.0,467.0,1280.18,-2033.26,944.33,2.324
1650.0,880.0,1220.0,950.0,2710.0,482.0,1325.24,2362.09,1115.63,2.408
1670.0,-880.0,1205.0,1065.0,-2600.0,467.0,1378.36,-2113.06,1032.7,2.272
1650.0,880.0,1220.0,250.0,2360.0,482.0,1055.49,1575.64,1226.04,2.392
1670.0,-880.0,1205.0,210.0,-2285.0,467.0,864.29,-1489.49,1211.81,2.512
1650.0,880.0,1220.0,600.0,2360.0,482.0,1336.97,1864.9,1179.94,2.364
1670.0,-880.0,1205.0,600.0,-2285.0,467.0,1204.72,-1543.93,1223.08,2.44
1650.0,880.0,1220.0,950.0,2478.5,482.0,1406.41,1637.61,921.58,2.32
1670.0,-880.0,1205.0,990.0,-2285.0,467.0,1441.67,-1624.9,1230.21,2.344
1650.0,880.0,1220.0,187.5,2072.5,482.0,879.14,1289.77,873.3,2.34
1670.0,-880.0,1205.0,210.0,-2045.0,467.0,776.14,-1579.71,899.97,2.468
1650.0,880.0,1220.0,425.0,2072.5,482.0,705.66,1574.2,1357.56,2.536
1670.0,-880.0,1205.0,600.0,-2045.0,467.0,1138.56,-1520.1,1072.75,2.368
1650.0,880.0,1220.0,662.5,2072.5,482.0,1116.59,1335.73,928.34,2.184
1670.0,-880.0,1205.0,990.0,-2045.0,467.0,1189.94,-1261.96,1170.2,2.264
1650.0,880.0,1220.0,950.0,2241.5,482.0,1217.11,1649.12,1015.01,2.16
1670.0,-880.0,1205.0,210.0,-2675.0,672.0,995.08,-1964.12,1169.55,2.54
1650.0,880.0,1220.0,950.0,2010.0,482.0,1538.46,1385.21,879.28,2.28
1670.0,-880.0,1205.0,600.0,-2675.0,672.0,984.47,-1311.24,1005.72,2.496
1650.0,880.0,1220.0,250.0,2710.0,702.0,972.83,1533.16,1165.54,2.296
1670.0,-880.0,1205.0,990.0,-2675.0,672.0,1242.35,-1798.81,1062.02,2.428
1650.0,880.0,1220.0,537.5,2647.5,702.0,1254.72,1848.17,1367.48,2.348
1670.0,-880.0,1205.0,210.0,-2435.0,672.0,624.42,-1740.31,1035.9,2.516
1650.0,880.0,1220.0,775.0,2647.5,702.0,1318.37,1774.74,1061.17,2.356
1670.0,-880.0,1205.0,600.0,-2435.0,672.0,921.69,-1938.0,1227.35,2.42
1650.0,880.0,1220.0,1012.5,2647.5,702.0,1411.66,1724.32,1137.76,2.268
1670.0,-880.0,1205.0,990.0,-2435.0,672.0,1187.79,-1632.5,1137.49,2.38
1650.0,880.0,1220.0,250.0,2478.5,702.0,778.55,2086.54,1076.64,2.404
1670.0,-880.0,1205.0,135.0,-2120.0,672.0,994.6,-1488.3,1109.26,2.324
1650.0,880.0,1220.0,600.0,2360.0,702.0,1275.15,1894.35,1080.02,2.364
1670.0,-880.0,1205.0,375.0,-2120.0,672.0,1090.52,-1295.91,1098.59,2.156
1650.0,880.0,1220.0,950.0,2360.0,702.0,1326.06,1633.81,1214.25,2.16
1670.0,-880.0,1205.0,825.0,-2120.0,672.0,1230.46,-1335.69,977.52,2.068
1650.0,880.0,1220.0,250.0,2241.5,702.0,1202.29,1725.99,1233.13,2.404
1670.0,-880.0,1205.0,1065.0,-2120.0,672.0,1382.22,-1330.91,1188.38,1.988
1650.0,880.0,1220.0,250.0,2010.0,702.0,762.45,1728.37,1204.81,2.276
1670.0,-880.0,1205.0,135.0,-2600.0,877.0,1161.16,-1872.96,1189.5,2.44
1650.0,880.0,1220.0,537.5,2072.5,702.0,973.46,1341.73,1205.23,2.14
1670.0,-880.0,1205.0,375.0,-2600.0,877.0,1031.6,-1806.54,1204.83,2.296
1650.0,880.0,1220.0,775.0,2072.5,702.0,1186.34,1693.63,1157.84,2.132
1670.0,-880.0,1205.0,825.0,-2600.0,877.0,1337.2,-1821.92,1136.77,2.228
1650.0,880.0,1220.0,1012.5,2072.5,702.0,1415.77,1310.6,1147.7,2.048
1670.0,-880.0,1205.0,1065.0,-2600.0,877.0,1387.21,-1474.29,1119.51,2.144
1650.0,880.0,1220.0,187.5,2647.5,922.0,808.75,2151.29,1205.51,2.464
1670.0,-880.0,1205.0,210.0,-2285.0,877.0,857.77,-1627.57,1155.55,2.44
1650.0,880.0,1220.0,425.0,2647.5,922.0,1004.78,1686.0,1273.69,2.236
1670.0,-880.0,1205.0,600.0,-2285.0,877.0,1244.74,-1806.38,1211.34,2.404
1650.0,880.0,1220.0,662.5,2647.5,922.0,1335.68,1800.79,1139.37,2.388
1670.0,-880.0,1205.0,990.0,-2285.0,877.0,1343.84,-1797.79,1164.43,2.256
1650.0,880.0,1220.0,950.0,2710.0,922.0,1431.7,1766.98,1186.5,2.272
1670.0,-880.0,1205.0,210.0,-2045.0,877.0,1204.99,-1422.72,1122.23,2.424
1650.0,880.0,1220.0,250.0,2360.0,922.0,1084.12,1395.58,1249.21,2.28
1670.0,-880.0,1205.0,600.0,-2045.0,877.0,1199.63,-1552.07,1255.63,2.272
1650.0,880.0,1220.0,600.0,2360.0,922.0,908.56,1646.72,1165.53,2.12
1670.0,-880.0,1205.0,990.0,-2045.0,877.0,1234.6,-1346.64,1122.24,2.216
1650.0,880.0,1220.0,950.0,2478.5,922.0,1346.45,1645.05,1263.43,2.184
1670.0,-880.0,1205.0,210.0,-2675.0,1082.0,752.28,-1469.2,1275.03,2.496
1650.0,880.0,1220.0,187.5,2072.5,922.0,938.29,1504.82,1158.72,2.3
1670.0,-880.0,1205.0,600.0,-2675.0,1082.0,1068.69,-1580.92,1302.95,2.472
1650.0,880.0,1220.0,425.0,2072.5,922.0,1010.31,1640.52,1188.18,2.244
1670.0,-880.0,1205.0,990.0,-2675.0,1082.0,1403.44,-1811.59,1245.92,2.348
1650.0,880.0,1220.0,662.5,2072.5,922.0,938.54,1151.47,1300.6,2.2
1670.0,-880.0,1205.0,210.0,-2435.0,1082.0,1055.96,-1661.96,1292.64,2.48
1650.0,880.0,1220.0,950.0,2241.5,922.0,1157.4,1691.17,1215.2,2.04
1670.0,-880.0,1205.0,600.0,-2435.0,1082.0,1064.64,-1867.71,1263.06,2.396
1650.0,880.0,1220.0,950.0,2010.0,922.0,1262.14,1431.87,1201.68,2.008
1670.0,-880.0,1205.0,990.0,-2435.0,1082.0,1309.3,-1672.92,1273.18,2.296
1650.0,880.0,1220.0,250.0,2710.0,1142.0,906.79,1808.89,1299.0,2.332
1670.0,-880.0,1205.0,135.0,-2120.0,1082.0,951.43,-1383.15,1287.91,2.192
1650.0,880.0,1220.0,537.5,2647.5,1142.0,1245.07,1957.79,1303.59,2.404
1670.0,-880.0,1205.0,375.0,-2120.0,1082.0,1321.16,-1499.94,1268.29,2.172
1650.0,880.0,1220.0,775.0,2647.5,1142.0,1182.85,1856.94,1280.21,2.192
1670.0,-880.0,1205.0,825.0,-2120.0,1082.0,1261.66,-1636.66,1269.74,2.012
1650.0,880.0,1220.0,1012.5,2647.5,1142.0,1306.65,1781.86,1292.42,2.148
1670.0,-880.0,1205.0,1065.0,-2120.0,1082.0,1437.69,-1148.54,1280.3,1.956
1650.0,880.0,1220.0,250.0,2478.5,1142.0,1106.6,1801.3,1297.7,2.392
1670.0,-880.0,1205.0,135.0,-2600.0,1287.0,867.47,-1962.74,1366.02,2.352
1650.0,880.0,1220.0,600.0,2360.0,1142.0,1365.26,1652.24,1271.13,2.272
1670.0,-880.0,1205.0,375.0,-2600.0,1287.0,1000.83,-1435.18,1370.56,2.224
1650.0,880.0,1220.0,950.0,2360.0,1142.0,1323.92,1519.27,1295.05,2.1
1670.0,-880.0,1205.0,825.0,-2600.0,1287.0,1200.28,-1786.09,1348.84,2.156
1650.0,880.0,1220.0,250.0,2241.5,1142.0,1321.05,1466.68,1291.73,2.336
1670.0,-880.0,1205.0,1065.0,-2600.0,1287.0,1439.26,-1778.4,1366.83,2.14
1650.0,880.0,1220.0,250.0,2010.0,1142.0,852.5,1609.24,1304.0,2.196
1670.0,-880.0,1205.0,210.0,-2285.0,1287.0,1021.72,-1621.78,1344.76,2.424
1650.0,880.0,1220.0,537.5,2072.5,1142.0,1276.44,1449.06,1277.61,2.172
1670.0,-880.0,1205.0,600.0,-2285.0,1287.0,1251.77,-1913.63,1374.08,2.372
1650.0,880.0,1220.0,775.0,2072.5,1142.0,1484.93,1670.6,1316.86,2.184
1670.0,-880.0,1205.0,990.0,-2285.0,1287.0,1366.31,-1558.67,1365.36,2.232
1650.0,880.0,1220.0,1012.5,2072.5,1142.0,1340.46,1716.38,1307.72,2.032
1670.0,-880.0,1205.0,210.0,-2045.0,1287.0,1164.71,-1428.52,1348.17,2.384
1650.0,880.0,1220.0,187.5,2647.5,1362.0,991.37,1724.1,1426.24,2.356
1670.0,-880.0,1205.0,600.0,-2045.0,1287.0,1110.04,-2015.75,1370.04,2.38
1650.0,880.0,1220.0,425.0,2647.5,1362.0,1167.71,2002.33,1385.87,2.452
1670.0,-880.0,1205.0,990.0,-2045.0,1287.0,1231.09,-1486.24,1358.32,2.152
1650.0,880.0,1220.0,662.5,2647.5,1362.0,1122.84,1581.14,1376.07,2.28
1650.0,880.0,1220.0,950.0,2710.0,1362.0,1125.97,1568.43,1436.48,2.372
1650.0,880.0,1220.0,250.0,2360.0,1362.0,974.61,1481.73,1395.81,2.204
1650.0,880.0,1220.0,600.0,2360.0,1362.0,1255.41,1420.22,1388.99,2.188
1650.0,880.0,1220.0,950.0,2478.5,1362.0,1465.03,1646.83,1415.11,2.224
1650.0,880.0,1220.0,187.5,2072.5,1362.0,1117.82,1408.61,1407.22,2.252
1650.0,880.0,1220.0,425.0,2072.5,1362.0,1267.87,1424.96,1441.34,2.192
