A_X,A_Y,A_Z,B_X,B_Y,B_Z,C_X,C_Y,C_Z,Time
1650.0,880.0,1220.0,187.5,2647.5,482.0,815.24,1790.32,957.86,2.456
1670.0,-880.0,1205.0,135.0,-2600.0,467.0,902.5,-1740.0,1036.0,2.428
1650.0,880.0,1220.0,425.0,2647.5,482.0,901.92,1513.12,756.96,2.424
1670.0,-880.0,1205.0,375.0,-2600.0,467.0,888.17,-1768.49,980.55,2.344
1650.0,880.0,1220.0,662.5,2647.5,482.0,1038.8,1518.87,884.68,2.368
1670.0,-880.0,1205.0,825.0,-2600.0,467.0,1095.21,-1921.8,978.65,2.216
1650.0,880.0,1220.0,950.0,2710.0,482.0,1300.0,1795.0,1051.0,2.32
1670.0,-880.0,1205.0,1065.0,-2600.0,467.0,1367.5,-1740.0,1036.0,2.216
1650.0,880.0,1220.0,250.0,2360.0,482.0,950.0,1620.0,1051.0,2.392
1670.0,-880.0,1205.0,210.0,-2285.0,467.0,794.02,-1618.88,862.42,2.472
1650.0,880.0,1220.0,600.0,2360.0,482.0,1059.8,1402.0,967.54,2.228
1670.0,-880.0,1205.0,600.0,-2285.0,467.0,1066.82,-1609.39,951.07,2.432
1650.0,880.0,1220.0,950.0,2478.5,482.0,1140.22,2163.36,890.85,2.264
1670.0,-880.0,1205.0,990.0,-2285.0,467.0,1345.24,-1534.17,927.35,2.352
1650.0,880.0,1220.0,187.5,2072.5,482.0,918.75,1476.25,1051.0,2.316
1670.0,-880.0,1205.0,210.0,-2045.0,467.0,659.07,-1590.32,978.5,2.508
1650.0,880.0,1220.0,425.0,2072.5,482.0,1037.5,1476.25,1051.0,2.268
1670.0,-880.0,1205.0,600.0,-2045.0,467.0,920.07,-1674.51,878.12,2.364
1650.0,880.0,1220.0,662.5,2072.5,482.0,1156.25,1476.25,1051.0,2.216
1670.0,-880.0,1205.0,990.0,-2045.0,467.0,1116.92,-1355.76,861.73,2.268
1650.0,880.0,1220.0,950.0,2241.5,482.0,1191.88,1484.82,922.81,2.136
1670.0,-880.0,1205.0,210.0,-2675.0,672.0,550.19,-2055.04,1205.89,2.544
1650.0,880.0,1220.0,950.0,2010.0,482.0,1300.0,1445.0,1051.0,2.128
1670.0,-880.0,1205.0,600.0,-2675.0,672.0,1135.0,-1777.5,1138.5,2.48
1650.0,880.0,1220.0,250.0,2710.0,702.0,831.4,1816.63,1087.14,2.38
1670.0,-880.0,1205.0,990.0,-2675.0,672.0,1330.0,-1777.5,1138.5,2.396
1650.0,880.0,1220.0,537.5,2647.5,702.0,926.46,1717.72,1089.52,2.316
1670.0,-880.0,1205.0,210.0,-2435.0,672.0,940.0,-1657.5,1138.5,2.5
1650.0,880.0,1220.0,775.0,2647.5,702.0,1212.5,1763.75,1161.0,2.268
1670.0,-880.0,1205.0,600.0,-2435.0,672.0,1135.0,-1657.5,1138.5,2.4
1650.0,880.0,1220.0,1012.5,2647.5,702.0,1331.25,1763.75,1161.0,2.22
1670.0,-880.0,1205.0,990.0,-2435.0,672.0,1330.0,-1657.5,1138.5,2.308
1650.0,880.0,1220.0,250.0,2478.5,702.0,686.72,1767.31,1137.36,2.256
1670.0,-880.0,1205.0,135.0,-2120.0,672.0,902.5,-1500.0,1138.5,2.32
1650.0,880.0,1220.0,600.0,2360.0,702.0,1125.0,1620.0,1161.0,2.24
1670.0,-880.0,1205.0,375.0,-2120.0,672.0,1022.5,-1500.0,1138.5,2.176
1650.0,880.0,1220.0,950.0,2360.0,702.0,1108.63,1400.8,1075.27,2.168
1670.0,-880.0,1205.0,825.0,-2120.0,672.0,1101.8,-1563.32,1103.03,2.016
1650.0,880.0,1220.0,250.0,2241.5,702.0,950.0,1560.75,1161.0,2.32
1670.0,-880.0,1205.0,1065.0,-2120.0,672.0,1256.77,-1608.08,1086.54,1.968
1650.0,880.0,1220.0,250.0,2010.0,702.0,496.21,1391.13,1113.46,2.344
1670.0,-880.0,1205.0,135.0,-2600.0,877.0,564.55,-1595.91,1163.87,2.372
1650.0,880.0,1220.0,537.5,2072.5,702.0,1093.75,1476.25,1161.0,2.172
1670.0,-880.0,1205.0,375.0,-2600.0,877.0,887.94,-1932.51,1188.94,2.3
1650.0,880.0,1220.0,775.0,2072.5,702.0,1146.08,1418.35,1192.24,2.048
1670.0,-880.0,1205.0,825.0,-2600.0,877.0,1247.5,-1740.0,1241.0,2.14
1650.0,880.0,1220.0,1012.5,2072.5,702.0,1331.25,1476.25,1161.0,2.024
1670.0,-880.0,1205.0,1065.0,-2600.0,877.0,1367.5,-1740.0,1241.0,2.128
1650.0,880.0,1220.0,187.5,2647.5,922.0,918.75,1763.75,1271.0,2.384
1670.0,-880.0,1205.0,210.0,-2285.0,877.0,551.56,-1839.91,1257.63,2.428
1650.0,880.0,1220.0,425.0,2647.5,922.0,1037.5,1763.75,1271.0,2.328
1670.0,-880.0,1205.0,600.0,-2285.0,877.0,980.38,-1665.19,1198.54,2.344
1650.0,880.0,1220.0,662.5,2647.5,922.0,1183.13,1445.26,1205.67,2.276
1670.0,-880.0,1205.0,990.0,-2285.0,877.0,1330.0,-1582.5,1241.0,2.236
1650.0,880.0,1220.0,950.0,2710.0,922.0,1300.0,1795.0,1271.0,2.22
1670.0,-880.0,1205.0,210.0,-2045.0,877.0,485.78,-1385.36,1324.34,2.268
1650.0,880.0,1220.0,250.0,2360.0,922.0,950.0,1620.0,1271.0,2.304
1670.0,-880.0,1205.0,600.0,-2045.0,877.0,960.26,-1638.92,1167.02,2.276
1650.0,880.0,1220.0,600.0,2360.0,922.0,911.08,1494.85,1260.0,2.12
1670.0,-880.0,1205.0,990.0,-2045.0,877.0,1330.0,-1462.5,1241.0,2.176
1650.0,880.0,1220.0,950.0,2478.5,922.0,1179.23,1812.39,1231.74,2.148
1670.0,-880.0,1205.0,210.0,-2675.0,1082.0,940.0,-1777.5,1343.5,2.504
1650.0,880.0,1220.0,187.5,2072.5,922.0,692.06,1355.39,1297.24,2.156
1670.0,-880.0,1205.0,600.0,-2675.0,1082.0,1135.0,-1777.5,1343.5,2.404
1650.0,880.0,1220.0,425.0,2072.5,922.0,719.49,1465.18,1240.32,2.084
1670.0,-880.0,1205.0,990.0,-2675.0,1082.0,1330.0,-1777.5,1343.5,2.396
1650.0,880.0,1220.0,662.5,2072.5,922.0,963.1,1343.8,1286.07,2.052
1670.0,-880.0,1205.0,210.0,-2435.0,1082.0,579.28,-2003.39,1368.85,2.428
1650.0,880.0,1220.0,950.0,2241.5,922.0,1142.87,1337.04,1293.0,2.068
1670.0,-880.0,1205.0,600.0,-2435.0,1082.0,948.95,-1885.27,1338.48,2.364
1650.0,880.0,1220.0,950.0,2010.0,922.0,1117.48,1423.23,1254.91,1.928
1670.0,-880.0,1205.0,990.0,-2435.0,1082.0,1330.0,-1657.5,1343.5,2.296
