A_X,A_Y,A_Z,B_X,B_Y,B_Z,C_X,C_Y,C_Z,Predict Time
1650.0,880.0,1220.0,187.5,2647.5,482.0,1388.59,1826.13,594.26,2.015126943588257
1650.0,880.0,1220.0,187.5,2647.5,482.0,1384.6,1655.05,675.21,2.0446088314056396
1650.0,880.0,1220.0,187.5,2647.5,482.0,1218.56,1739.78,586.27,2.052825689315796
1650.0,880.0,1220.0,187.5,2647.5,482.0,1106.09,1406.98,522.5,2.0551679134368896
1650.0,880.0,1220.0,187.5,2647.5,482.0,1160.72,1868.22,566.16,2.0604302883148193
1650.0,880.0,1220.0,187.5,2647.5,482.0,1314.53,1661.43,686.64,2.0658090114593506
1650.0,880.0,1220.0,187.5,2647.5,482.0,1336.29,2224.31,695.49,2.067542791366577
1650.0,880.0,1220.0,187.5,2647.5,482.0,1045.35,1584.21,517.06,2.0689713954925537
1650.0,880.0,1220.0,187.5,2647.5,482.0,1084.2,1793.75,539.93,2.0691678524017334
1650.0,880.0,1220.0,187.5,2647.5,482.0,1136.73,1786.66,579.85,2.0712602138519287
1670.0,-880.0,1205.0,135.0,-2600.0,467.0,1442.35,-1811.28,633.76,2.0725648403167725
1670.0,-880.0,1205.0,135.0,-2600.0,467.0,1230.05,-1548.12,569.27,2.1023366451263428
1670.0,-880.0,1205.0,135.0,-2600.0,467.0,1407.18,-1709.93,690.66,2.102435827255249
1670.0,-880.0,1205.0,135.0,-2600.0,467.0,1212.17,-1855.56,564.34,2.1028764247894287
1670.0,-880.0,1205.0,135.0,-2600.0,467.0,1193.78,-1904.73,583.51,2.1139943599700928
1670.0,-880.0,1205.0,135.0,-2600.0,467.0,1319.91,-1154.82,678.7,2.12302565574646
1670.0,-880.0,1205.0,135.0,-2600.0,467.0,1205.69,-1716.03,614.96,2.1237142086029053
1670.0,-880.0,1205.0,135.0,-2600.0,467.0,1230.43,-1276.63,628.16,2.1252477169036865
1670.0,-880.0,1205.0,135.0,-2600.0,467.0,1249.07,-1671.43,652.65,2.127397298812866
1670.0,-880.0,1205.0,135.0,-2600.0,467.0,1280.14,-1990.38,680.62,2.1277291774749756
1650.0,880.0,1220.0,425.0,2647.5,482.0,1333.09,1854.12,552.36,1.9642388820648193
1650.0,880.0,1220.0,425.0,2647.5,482.0,1403.98,2195.8,611.74,1.9707486629486084
1650.0,880.0,1220.0,425.0,2647.5,482.0,1259.17,1830.62,573.03,1.9891202449798584
1650.0,880.0,1220.0,425.0,2647.5,482.0,1283.61,1550.57,600.76,1.992013692855835
1650.0,880.0,1220.0,425.0,2647.5,482.0,1121.39,1848.34,489.21,1.992694616317749
1650.0,880.0,1220.0,425.0,2647.5,482.0,1361.26,1751.11,671.25,2.0001866817474365
1650.0,880.0,1220.0,425.0,2647.5,482.0,1243.27,2116.82,600.37,2.005094289779663
1650.0,880.0,1220.0,425.0,2647.5,482.0,1204.74,1598.23,590.58,2.007089376449585
1650.0,880.0,1220.0,425.0,2647.5,482.0,1182.85,1789.42,572.19,2.0072038173675537
1650.0,880.0,1220.0,425.0,2647.5,482.0,1166.83,2290.59,557.31,2.009275197982788
1670.0,-880.0,1205.0,375.0,-2600.0,467.0,1554.17,-1684.66,645.23,2.0004079341888428
1670.0,-880.0,1205.0,375.0,-2600.0,467.0,1362.14,-1734.38,543.17,2.009141683578491
1670.0,-880.0,1205.0,375.0,-2600.0,467.0,1267.1,-1457.53,488.86,2.0145375728607178
1670.0,-880.0,1205.0,375.0,-2600.0,467.0,1351.34,-1679.36,589.23,2.0292699337005615
1670.0,-880.0,1205.0,375.0,-2600.0,467.0,1307.55,-1745.21,568.63,2.0320775508880615
