A_X,A_Y,A_Z,B_X,B_Y,B_Z,C_X,C_Y,C_Z,Time
1650.0,880.0,1220.0,187.5,2647.5,482.0,1405.94,1889.09,703.87,2.796
1670.0,-880.0,1205.0,135.0,-2600.0,467.0,1437.6,-1811.78,837.92,2.624
1650.0,880.0,1220.0,425.0,2647.5,482.0,1354.87,1708.67,809.75,2.592
1670.0,-880.0,1205.0,375.0,-2600.0,467.0,1349.47,-1749.23,694.97,2.5
1650.0,880.0,1220.0,662.5,2647.5,482.0,1338.7,1604.19,717.05,2.492
1670.0,-880.0,1205.0,825.0,-2600.0,467.0,1472.4,-2167.77,710.9,2.484
1650.0,880.0,1220.0,950.0,2710.0,482.0,1538.73,1782.59,757.31,2.46
1670.0,-880.0,1205.0,1065.0,-2600.0,467.0,1467.6,-1660.26,708.28,2.268
1650.0,880.0,1220.0,250.0,2360.0,482.0,1448.65,1716.82,843.71,2.644
1670.0,-880.0,1205.0,210.0,-2285.0,467.0,1375.52,-1574.82,637.61,2.648
1650.0,880.0,1220.0,600.0,2360.0,482.0,1530.38,1471.69,839.85,2.52
1670.0,-880.0,1205.0,600.0,-2285.0,467.0,1575.3,-1496.24,859.58,2.524
1650.0,880.0,1220.0,950.0,2478.5,482.0,1415.63,1534.91,718.23,2.364
1670.0,-880.0,1205.0,990.0,-2285.0,467.0,1445.23,-1436.58,703.24,2.4
1650.0,880.0,1220.0,187.5,2072.5,482.0,1207.87,1372.79,740.22,2.52
1670.0,-880.0,1205.0,210.0,-2045.0,467.0,1405.64,-1748.18,846.86,2.624
1650.0,880.0,1220.0,425.0,2072.5,482.0,1514.22,1225.81,858.46,2.476
1670.0,-880.0,1205.0,600.0,-2045.0,467.0,1505.46,-1665.71,753.37,2.52
1650.0,880.0,1220.0,662.5,2072.5,482.0,1448.55,1642.37,734.47,2.5
1670.0,-880.0,1205.0,990.0,-2045.0,467.0,1465.32,-1205.96,726.55,2.372
1650.0,880.0,1220.0,950.0,2241.5,482.0,1374.12,1431.54,664.69,2.352
1670.0,-880.0,1205.0,210.0,-2675.0,672.0,1493.06,-1956.7,940.76,2.7
1650.0,880.0,1220.0,950.0,2010.0,482.0,1462.61,1259.27,655.48,2.376
1670.0,-880.0,1205.0,600.0,-2675.0,672.0,1440.56,-2115.65,890.91,2.58
1650.0,880.0,1220.0,250.0,2710.0,702.0,1365.11,1873.21,971.49,2.616
1670.0,-880.0,1205.0,990.0,-2675.0,672.0,1489.27,-1889.29,922.36,2.44
1650.0,880.0,1220.0,537.5,2647.5,702.0,1415.36,2214.7,933.89,2.636
1670.0,-880.0,1205.0,210.0,-2435.0,672.0,1313.18,-1581.83,898.19,2.564
1650.0,880.0,1220.0,775.0,2647.5,702.0,1412.78,1637.2,861.94,2.448
1670.0,-880.0,1205.0,600.0,-2435.0,672.0,1479.63,-1503.51,885.47,2.476
1650.0,880.0,1220.0,1012.5,2647.5,702.0,1382.39,1663.58,893.42,2.308
1670.0,-880.0,1205.0,990.0,-2435.0,672.0,1435.87,-1895.69,876.33,2.392
1650.0,880.0,1220.0,250.0,2478.5,702.0,1432.64,1994.33,934.31,2.704
1670.0,-880.0,1205.0,135.0,-2120.0,672.0,1409.33,-1423.56,985.63,2.44
1650.0,880.0,1220.0,600.0,2360.0,702.0,1490.32,1532.16,1006.79,2.432
1670.0,-880.0,1205.0,375.0,-2120.0,672.0,1596.23,-1749.19,925.65,2.52
1650.0,880.0,1220.0,950.0,2360.0,702.0,1430.08,1736.01,899.4,2.324
1670.0,-880.0,1205.0,825.0,-2120.0,672.0,1482.69,-1596.37,885.19,2.236
1650.0,880.0,1220.0,250.0,2241.5,702.0,1455.51,1709.24,919.27,2.636
1670.0,-880.0,1205.0,1065.0,-2120.0,672.0,1558.17,-1579.97,936.27,2.136
1650.0,880.0,1220.0,250.0,2010.0,702.0,1416.71,1643.39,989.04,2.548
1670.0,-880.0,1205.0,135.0,-2600.0,877.0,1421.97,-1685.27,1130.76,2.456
1650.0,880.0,1220.0,537.5,2072.5,702.0,1440.21,1439.59,1004.92,2.36
1670.0,-880.0,1205.0,375.0,-2600.0,877.0,1582.09,-1867.93,1145.3,2.508
1650.0,880.0,1220.0,775.0,2072.5,702.0,1457.75,1705.57,937.39,2.352
1670.0,-880.0,1205.0,825.0,-2600.0,877.0,1570.75,-1390.09,1097.26,2.248
1650.0,880.0,1220.0,1012.5,2072.5,702.0,1480.93,1335.59,872.27,2.176
1670.0,-880.0,1205.0,1065.0,-2600.0,877.0,1414.31,-1658.28,987.96,2.192
1650.0,880.0,1220.0,187.5,2647.5,922.0,1408.58,1834.07,1137.59,2.596
1670.0,-880.0,1205.0,210.0,-2285.0,877.0,1325.22,-1627.66,1048.79,2.512
1650.0,880.0,1220.0,425.0,2647.5,922.0,1412.11,1578.29,1131.96,2.5
1670.0,-880.0,1205.0,600.0,-2285.0,877.0,1560.18,-1523.19,1094.5,2.444
1650.0,880.0,1220.0,662.5,2647.5,922.0,1630.91,1717.11,1118.66,2.496
1670.0,-880.0,1205.0,990.0,-2285.0,877.0,1495.12,-1667.26,1011.76,2.312
1650.0,880.0,1220.0,950.0,2710.0,922.0,1458.41,1840.64,1104.94,2.348
1670.0,-880.0,1205.0,210.0,-2045.0,877.0,1602.9,-1307.71,1137.66,2.536
1650.0,880.0,1220.0,250.0,2360.0,922.0,1356.05,1601.72,1134.28,2.46
1670.0,-880.0,1205.0,600.0,-2045.0,877.0,1541.24,-1427.71,1068.39,2.388
1650.0,880.0,1220.0,600.0,2360.0,922.0,1392.84,1439.02,1071.11,2.352
1670.0,-880.0,1205.0,990.0,-2045.0,877.0,1409.39,-1493.54,1008.21,2.236
1650.0,880.0,1220.0,950.0,2478.5,922.0,1591.02,1454.84,1138.93,2.3
1670.0,-880.0,1205.0,210.0,-2675.0,1082.0,1578.82,-1790.45,1240.93,2.628
1650.0,880.0,1220.0,187.5,2072.5,922.0,1476.71,1414.38,1146.69,2.524
1670.0,-880.0,1205.0,600.0,-2675.0,1082.0,1595.19,-1435.24,1224.92,2.484
1650.0,880.0,1220.0,425.0,2072.5,922.0,1461.65,1663.04,1104.53,2.44
1670.0,-880.0,1205.0,990.0,-2675.0,1082.0,1553.11,-1912.11,1217.41,2.4
1650.0,880.0,1220.0,662.5,2072.5,922.0,1539.57,1710.36,1130.1,2.36
