A_X,A_Y,A_Z,B_X,B_Y,B_Z,C_X,C_Y,C_Z,time
1650.0,880.0,1220.0,187.5,2647.5,482.0,1312.6,1392.96,1306.42,3.192
1670.0,-880.0,1205.0,210.0,-2675.0,672.0,734.17,-1977.27,825.16,2.976
1670.0,-880.0,1205.0,825.0,-2600.0,467.0,892.59,-1236.88,1028.7,2.928
1670.0,-880.0,1205.0,825.0,-2600.0,467.0,892.59,-1236.88,1028.7,2.928
1650.0,880.0,1220.0,662.5,2647.5,482.0,986.91,1552.88,1890.24,2.904
1650.0,880.0,1220.0,187.5,2647.5,482.0,611.42,1865.61,1002.2,2.808
1650.0,880.0,1220.0,662.5,2647.5,482.0,984.49,1343.44,1453.99,2.808
1650.0,880.0,1220.0,662.5,2647.5,482.0,699.52,1780.09,1378.2,2.784
1650.0,880.0,1220.0,662.5,2647.5,482.0,1219.39,1484.08,1879.34,2.784
1670.0,-880.0,1205.0,210.0,-2285.0,877.0,1386.04,1633.13,806.47,2.736
1650.0,880.0,1220.0,250.0,2478.5,702.0,1264.86,1204.78,1042.51,2.736
1670.0,-880.0,1205.0,825.0,-2600.0,467.0,1016.51,-1567.27,1037.79,2.736
1670.0,-880.0,1205.0,825.0,-2600.0,467.0,1016.51,-1567.27,1037.79,2.736
1650.0,880.0,1220.0,662.5,2647.5,482.0,971.36,1576.27,1590.78,2.736
1670.0,-880.0,1205.0,210.0,-2285.0,467.0,1293.84,2585.58,1045.47,2.712
1670.0,-880.0,1205.0,210.0,-2285.0,467.0,1293.84,2585.58,1045.47,2.712
1650.0,880.0,1220.0,662.5,2647.5,482.0,999.39,1549.79,1538.21,2.712
1650.0,880.0,1220.0,662.5,2647.5,482.0,964.8,1319.25,1256.86,2.712
1650.0,880.0,1220.0,662.5,2647.5,482.0,1113.8,1668.26,1806.88,2.712
1670.0,-880.0,1205.0,135.0,-2600.0,467.0,1213.01,-1286.77,422.82,2.688
1650.0,880.0,1220.0,662.5,2647.5,482.0,1046.72,1464.95,1525.13,2.688
1650.0,880.0,1220.0,662.5,2647.5,482.0,754.15,2019.68,1443.12,2.688
1670.0,-880.0,1205.0,375.0,-2600.0,467.0,732.79,-1519.52,600.12,2.664
1670.0,-880.0,1205.0,210.0,-2675.0,672.0,1506.19,1533.98,1060.13,2.64
1670.0,-880.0,1205.0,210.0,-2435.0,672.0,782.58,1648.34,752.23,2.64
1650.0,880.0,1220.0,662.5,2647.5,482.0,1098.43,1995.6,1773.55,2.64
1650.0,880.0,1220.0,662.5,2647.5,482.0,974.06,2117.89,1622.75,2.616
1650.0,880.0,1220.0,662.5,2647.5,482.0,995.85,1811.33,1573.55,2.616
1650.0,880.0,1220.0,187.5,2647.5,482.0,760.17,1877.45,1045.45,2.616
1670.0,-880.0,1205.0,210.0,-2285.0,467.0,1233.68,-2106.99,824.94,2.592
1670.0,-880.0,1205.0,210.0,-2285.0,467.0,1233.68,-2106.99,824.94,2.592
1650.0,880.0,1220.0,187.5,2647.5,482.0,990.81,1807.92,549.47,2.568
1670.0,-880.0,1205.0,375.0,-2600.0,467.0,763.33,1740.84,737.0,2.568
1650.0,880.0,1220.0,187.5,2647.5,482.0,692.69,2278.01,838.96,2.544
1650.0,880.0,1220.0,187.5,2647.5,482.0,1152.24,1654.28,826.16,2.544
1650.0,880.0,1220.0,662.5,2647.5,482.0,888.14,1676.46,1123.77,2.544
1650.0,880.0,1220.0,187.5,2647.5,482.0,1016.13,1243.35,726.5,2.544
1650.0,880.0,1220.0,187.5,2647.5,482.0,766.45,2209.75,1376.62,2.544
1670.0,-880.0,1205.0,210.0,-2675.0,672.0,401.78,-1438.3,1009.67,2.52
1650.0,880.0,1220.0,250.0,2710.0,702.0,901.95,1824.46,916.83,2.52
1650.0,880.0,1220.0,250.0,2710.0,702.0,901.95,1824.46,916.83,2.52
1650.0,880.0,1220.0,662.5,2647.5,482.0,1519.91,2127.08,1704.92,2.52
1670.0,-880.0,1205.0,210.0,-2675.0,672.0,755.97,-1776.92,989.25,2.496
1650.0,880.0,1220.0,250.0,2710.0,702.0,870.24,1620.62,836.95,2.496
1650.0,880.0,1220.0,250.0,2710.0,702.0,870.24,1620.62,836.95,2.496
1650.0,880.0,1220.0,250.0,2478.5,702.0,653.65,2122.38,890.34,2.496
1650.0,880.0,1220.0,425.0,2647.5,482.0,954.14,1547.25,964.45,2.496
1670.0,-880.0,1205.0,600.0,-2675.0,672.0,725.08,-1599.37,972.61,2.496
1650.0,880.0,1220.0,662.5,2647.5,482.0,1523.24,1863.84,1765.84,2.496
1650.0,880.0,1220.0,662.5,2647.5,482.0,1165.97,1543.68,1439.93,2.496
1650.0,880.0,1220.0,662.5,2647.5,482.0,1188.94,1872.44,1496.97,2.496
1650.0,880.0,1220.0,662.5,2647.5,482.0,1173.34,1574.04,1489.83,2.496
1670.0,-880.0,1205.0,135.0,-2600.0,467.0,566.51,-1305.17,781.67,2.472
1650.0,880.0,1220.0,187.5,2647.5,482.0,887.39,1809.84,774.12,2.472
1650.0,880.0,1220.0,250.0,2478.5,702.0,1312.48,2134.15,878.72,2.472
1650.0,880.0,1220.0,250.0,2360.0,482.0,806.93,-1911.4,968.52,2.472
1670.0,-880.0,1205.0,375.0,-2600.0,467.0,1286.53,-2172.66,750.63,2.472
1670.0,-880.0,1205.0,375.0,-2600.0,467.0,996.52,-1870.18,999.26,2.472
1650.0,880.0,1220.0,662.5,2647.5,482.0,799.27,2328.65,1025.32,2.472
1650.0,880.0,1220.0,662.5,2647.5,482.0,1153.1,1447.63,1207.33,2.472
1650.0,880.0,1220.0,662.5,2647.5,482.0,1020.45,2223.39,1389.67,2.472
1650.0,880.0,1220.0,662.5,2647.5,482.0,1260.53,1473.22,1413.4,2.472
1650.0,880.0,1220.0,662.5,2647.5,482.0,1231.92,1742.39,1476.26,2.472
