,A_X,A_Y,A_Z,B_X,B_Y,B_Z,C_X,C_Y,C_Z,time
0,1650.0,880.0,1220.0,250.0,2010.0,1142.0,1650.0,880.0,1220.0,2.172
1,1670.0,-880.0,1205.0,210.0,-2285.0,1287.0,1650.0,880.0,1220.0,2.172
2,1650.0,880.0,1220.0,537.5,2072.5,1142.0,1670.0,-880.0,1205.0,2.392
3,1650.0,880.0,1220.0,537.5,2072.5,1142.0,1650.0,880.0,1220.0,2.116
4,1670.0,-880.0,1205.0,600.0,-2285.0,1287.0,1670.0,-880.0,1205.0,2.296
5,1650.0,880.0,1220.0,775.0,2072.5,1142.0,1650.0,880.0,1220.0,2.044
6,1670.0,-880.0,1205.0,990.0,-2285.0,1287.0,1650.0,880.0,1220.0,2.044
7,1650.0,880.0,1220.0,1012.5,2072.5,1142.0,1670.0,-880.0,1205.0,2.232
8,1670.0,-880.0,1205.0,210.0,-2045.0,1287.0,1650.0,880.0,1220.0,1.98
9,1670.0,-880.0,1205.0,210.0,-2045.0,1287.0,1670.0,-880.0,1205.0,2.372
10,1650.0,880.0,1220.0,187.5,2647.5,1362.0,1650.0,880.0,1220.0,2.352
11,1670.0,-880.0,1205.0,600.0,-2045.0,1287.0,1670.0,-880.0,1205.0,2.288
12,1650.0,880.0,1220.0,425.0,2647.5,1362.0,1670.0,-880.0,1205.0,2.288
13,1670.0,-880.0,1205.0,990.0,-2045.0,1287.0,1650.0,880.0,1220.0,2.3
14,1670.0,-880.0,1205.0,990.0,-2045.0,1287.0,1670.0,-880.0,1205.0,2.156
15,1650.0,880.0,1220.0,662.5,2647.5,1362.0,1650.0,880.0,1220.0,2.26
16,1650.0,880.0,1220.0,950.0,2710.0,1362.0,1650.0,880.0,1220.0,2.272
17,1650.0,880.0,1220.0,250.0,2360.0,1362.0,1650.0,880.0,1220.0,2.272
18,1650.0,880.0,1220.0,600.0,2360.0,1362.0,1650.0,880.0,1220.0,2.296
19,1650.0,880.0,1220.0,950.0,2478.5,1362.0,1650.0,880.0,1220.0,2.188
20,1650.0,880.0,1220.0,187.5,2072.5,1362.0,1650.0,880.0,1220.0,2.152
21,1650.0,880.0,1220.0,187.5,2072.5,1362.0,1650.0,880.0,1220.0,2.252
22,1650.0,880.0,1220.0,425.0,2072.5,1362.0,1650.0,880.0,1220.0,2.16
23,1650.0,880.0,1220.0,662.5,2072.5,1362.0,1650.0,880.0,1220.0,2.088
24,1650.0,880.0,1220.0,950.0,2241.5,1362.0,1650.0,880.0,1220.0,2.064
25,1650.0,880.0,1220.0,950.0,2010.0,1362.0,1650.0,880.0,1220.0,2.064
26,1650.0,880.0,1220.0,950.0,2010.0,1362.0,1650.0,880.0,1220.0,1.996
27,1650.0,880.0,1220.0,950.0,2010.0,1362.0,1650.0,880.0,1220.0,1.996
28,1650.0,880.0,1220.0,950.0,2010.0,1362.0,1650.0,880.0,1220.0,1.996
29,1650.0,880.0,1220.0,950.0,2010.0,1362.0,1650.0,880.0,1220.0,1.996
