A_X,A_Y,A_Z,B_X,B_Y,B_Z,C_X,C_Y,C_Z,time
1670.0,-880.0,1205.0,210.0,-2435.0,672.0,328.93,-1108.46,974.51,3.384
1650.0,880.0,1220.0,187.5,2647.5,482.0,1312.6,1392.96,1306.42,3.192
1670.0,-880.0,1205.0,210.0,-2285.0,877.0,306.54,-1315.86,1000.27,3.024
1670.0,-880.0,1205.0,210.0,-2675.0,672.0,734.17,-1977.27,825.16,2.976
1670.0,-880.0,1205.0,825.0,-2600.0,467.0,892.59,-1236.88,1028.7,2.928
1670.0,-880.0,1205.0,825.0,-2600.0,467.0,892.59,-1236.88,1028.7,2.928
1650.0,880.0,1220.0,662.5,2647.5,482.0,986.91,1552.88,1890.24,2.904
1650.0,880.0,1220.0,187.5,2647.5,482.0,611.42,1865.61,1002.2,2.808
1650.0,880.0,1220.0,662.5,2647.5,482.0,984.49,1343.44,1453.99,2.808
1670.0,-880.0,1205.0,375.0,-2600.0,467.0,385.79,-1718.66,719.36,2.784
1650.0,880.0,1220.0,662.5,2647.5,482.0,699.52,1780.09,1378.2,2.784
1650.0,880.0,1220.0,662.5,2647.5,482.0,1219.39,1484.08,1879.34,2.784
1670.0,-880.0,1205.0,210.0,-2285.0,877.0,1386.04,1633.13,806.47,2.736
1650.0,880.0,1220.0,250.0,2478.5,702.0,1264.86,1204.78,1042.51,2.736
1670.0,-880.0,1205.0,600.0,-2285.0,467.0,608.16,-1283.34,812.92,2.736
1650.0,880.0,1220.0,662.5,2647.5,482.0,971.36,1576.27,1590.78,2.736
1670.0,-880.0,1205.0,825.0,-2600.0,467.0,1016.51,-1567.27,1037.79,2.736
1670.0,-880.0,1205.0,825.0,-2600.0,467.0,1016.51,-1567.27,1037.79,2.736
1670.0,-880.0,1205.0,210.0,-2285.0,467.0,1293.84,2585.58,1045.47,2.712
1670.0,-880.0,1205.0,210.0,-2285.0,467.0,1293.84,2585.58,1045.47,2.712
1670.0,-880.0,1205.0,210.0,-2435.0,672.0,471.51,-1476.3,979.62,2.712
1650.0,880.0,1220.0,250.0,2478.5,702.0,504.34,1408.52,952.12,2.712
1650.0,880.0,1220.0,662.5,2647.5,482.0,999.39,1549.79,1538.21,2.712
1650.0,880.0,1220.0,662.5,2647.5,482.0,964.8,1319.25,1256.86,2.712
1650.0,880.0,1220.0,662.5,2647.5,482.0,1113.8,1668.26,1806.88,2.712
1670.0,-880.0,1205.0,135.0,-2600.0,467.0,1213.01,-1286.77,422.82,2.688
1650.0,880.0,1220.0,662.5,2647.5,482.0,1046.72,1464.95,1525.13,2.688
1650.0,880.0,1220.0,662.5,2647.5,482.0,754.15,2019.68,1443.12,2.688
1670.0,-880.0,1205.0,375.0,-2600.0,467.0,732.79,-1519.52,600.12,2.664
1670.0,-880.0,1205.0,600.0,-2675.0,672.0,627.97,-1570.8,931.37,2.664
1670.0,-880.0,1205.0,210.0,-2675.0,672.0,1506.19,1533.98,1060.13,2.64
1670.0,-880.0,1205.0,210.0,-2435.0,672.0,782.58,1648.34,752.23,2.64
1650.0,880.0,1220.0,662.5,2647.5,482.0,1098.43,1995.6,1773.55,2.64
1650.0,880.0,1220.0,187.5,2647.5,482.0,760.17,1877.45,1045.45,2.616
1670.0,-880.0,1205.0,210.0,-2285.0,877.0,630.39,-1229.82,1060.83,2.616
1670.0,-880.0,1205.0,210.0,-2675.0,672.0,589.85,-1521.48,963.17,2.616
1670.0,-880.0,1205.0,375.0,-2600.0,467.0,608.85,-1619.6,944.42,2.616
1650.0,880.0,1220.0,662.5,2647.5,482.0,974.06,2117.89,1622.75,2.616
1650.0,880.0,1220.0,662.5,2647.5,482.0,995.85,1811.33,1573.55,2.616
1670.0,-880.0,1205.0,210.0,-2285.0,467.0,1233.68,-2106.99,824.94,2.592
1670.0,-880.0,1205.0,210.0,-2285.0,467.0,1233.68,-2106.99,824.94,2.592
1650.0,880.0,1220.0,250.0,2478.5,702.0,501.68,1525.58,941.59,2.592
1670.0,-880.0,1205.0,375.0,-2600.0,467.0,798.12,-1408.96,1028.98,2.592
1670.0,-880.0,1205.0,375.0,-2600.0,467.0,1191.95,-1848.73,934.98,2.592
1650.0,880.0,1220.0,425.0,2647.5,482.0,822.63,1472.71,1039.18,2.592
