,A_X,A_Y,A_Z,B_X,B_Y,B_Z,C_X,C_Y,C_Z,time
0,1231.04,-947.861,500.0,1472.08,119.874,900.0,1254.035038879368,-583.5229134428223,858.1496495011525,2.896
1,1231.04,-947.861,500.0,1472.08,119.874,900.0,1329.088517531142,-187.92687779374393,860.9783126655043,2.728
2,1231.04,-947.861,500.0,1472.08,119.874,900.0,1281.8605936477045,-498.84927359028984,885.2714777232485,2.864
3,1231.04,-947.861,500.0,1472.08,119.874,900.0,1372.4009213248326,-771.2815182480526,893.0156931008039,3.196
4,1231.04,-947.861,500.0,1472.08,119.874,900.0,1326.4873295505124,0.9203350473911769,840.9929397674507,2.856
5,1231.04,-947.861,500.0,1472.08,119.874,900.0,1436.8289762460854,-230.1936881287099,884.8345465159387,2.72
6,1231.04,-947.861,500.0,1472.08,119.874,900.0,1262.9790923745338,-116.72260648425231,836.1376572420822,2.848
7,1231.04,-947.861,500.0,1472.08,119.874,900.0,1397.591186379204,-135.3557520479098,858.5078552807009,2.66
8,1231.04,-947.861,500.0,1472.08,119.874,900.0,1373.093937040882,-307.38465296907145,864.0776239502193,2.708
9,1231.04,-947.861,500.0,1472.08,119.874,900.0,1414.6845925512762,-408.46223125831926,884.2040379380339,2.78
10,1231.04,-947.861,500.0,1472.08,119.874,900.0,1396.7161847741204,-428.1522283416527,868.9696648863041,2.768
11,1231.04,-947.861,500.0,1472.08,119.874,900.0,1407.990989506904,-317.77612245544634,898.6742384062151,2.768
12,1231.04,-947.861,500.0,1472.08,119.874,900.0,1446.5032407065032,-513.3133139191256,825.5017632301683,2.768
13,1231.04,-947.861,500.0,1472.08,119.874,900.0,1438.6715884034477,-429.34099045472993,837.9386768008184,2.728
14,1231.04,-947.861,500.0,1472.08,119.874,900.0,1317.8288629601145,-313.8339857463995,891.3528959826892,2.792
15,1231.04,-947.861,500.0,1472.08,119.874,900.0,1321.1634372161254,-225.44540282081624,796.977987856507,2.66
16,1231.04,-947.861,500.0,1472.08,119.874,900.0,1413.6850672302542,-211.23394911355456,839.898328998813,2.644
17,1231.04,-947.861,500.0,1472.08,119.874,900.0,1272.4416818167597,-509.93984181248516,671.657175374226,2.628
18,1231.04,-947.861,500.0,1472.08,119.874,900.0,1323.065767394444,-417.19617035834125,889.8732040895211,2.82
19,1231.04,-947.861,500.0,1472.08,119.874,900.0,1425.0441252357246,-224.1930057632156,898.4529451703297,2.736
20,1231.04,-947.861,500.0,1472.08,119.874,900.0,1442.7947596186464,-81.50590474639068,869.0776372988008,2.652
21,1231.04,-947.861,500.0,1472.08,119.874,900.0,1325.9975762023305,-192.620650178293,872.76391065968,2.748
22,1231.04,-947.861,500.0,1472.08,119.874,900.0,1440.3689371048763,-99.5203728305384,859.0648445901677,2.64
23,1231.04,-947.861,500.0,1472.08,119.874,900.0,1330.6581453844924,-269.787387565059,885.4600244451309,2.76
24,1231.04,-947.861,500.0,1472.08,119.874,900.0,1232.2664337030453,36.68521650236039,695.9681466918098,3.16
25,1231.04,-947.861,500.0,1472.08,119.874,900.0,1403.6667663106807,-448.5893907633968,815.679440942974,2.7
26,1231.04,-947.861,500.0,1472.08,119.874,900.0,1284.4854029636658,-242.23726382788024,886.2042036688692,2.82
27,1231.04,-947.861,500.0,1472.08,119.874,900.0,1238.440908958288,-613.7727625920209,885.8375660006476,3.012
28,1231.04,-947.861,500.0,1472.08,119.874,900.0,1251.040038879944,-596.9070489613421,845.3680347405982,2.892
29,1231.04,-947.861,500.0,1472.08,119.874,900.0,1333.3177493959286,-258.78265730021707,839.088670685257,2.688
30,1231.04,-947.861,500.0,1472.08,119.874,900.0,1296.558477524401,-422.9246993326486,854.0221349927292,2.78
31,1231.04,-947.861,500.0,1472.08,119.874,900.0,1386.2110896883269,-292.9793853690248,895.9514454175705,2.76
32,1231.04,-947.861,500.0,1472.08,119.874,900.0,1387.390117281985,-506.27902339572,830.5186825134631,2.752
33,1231.04,-947.861,500.0,1472.08,119.874,900.0,1329.4881268539611,-435.3773718670974,778.1599189469752,2.668
34,1231.04,-947.861,500.0,1472.08,119.874,900.0,1245.7576756584438,-105.06015337494472,861.3914489620819,2.948
35,1231.04,-947.861,500.0,1472.08,119.874,900.0,1397.845725165786,-657.918474255442,868.312949941206,2.952
36,1231.04,-947.861,500.0,1472.08,119.874,900.0,1382.5159423969935,23.53886794450358,799.1140114413217,2.716
37,1231.04,-947.861,500.0,1472.08,119.874,900.0,1416.2420492282702,-209.39556479393315,882.6620801201215,2.704
38,1231.04,-947.861,500.0,1472.08,119.874,900.0,1399.9179575449782,-201.29660518496124,765.8024335082076,2.628
39,1231.04,-947.861,500.0,1472.08,119.874,900.0,1307.7114155240045,-810.9837361431405,868.2242391022568,3.244
40,1231.04,-947.861,500.0,1472.08,119.874,900.0,1374.4878884939546,-373.0895105857935,803.1999596238887,2.652
41,1231.04,-947.861,500.0,1472.08,119.874,900.0,1404.335210827703,-638.4796197568702,866.1343634171214,2.928
42,1231.04,-947.861,500.0,1472.08,119.874,900.0,1289.3195172239216,-115.85879256626652,788.1178144400802,2.72
43,1231.04,-947.861,500.0,1472.08,119.874,900.0,1364.2380971031037,-517.8827979573346,872.912191014301,2.82
44,1231.04,-947.861,500.0,1472.08,119.874,900.0,1259.9585305620053,-473.11259104434475,828.39711724585,2.788
45,1231.04,-947.861,500.0,1472.08,119.874,900.0,1347.7651213079432,-662.5106755372983,813.337911864391,2.844
46,1231.04,-947.861,500.0,1472.08,119.874,900.0,1443.516488148556,-555.1004932830843,899.1714437421483,2.912
47,1231.04,-947.861,500.0,1472.08,119.874,900.0,1315.3692274128782,-361.57537397332106,890.8797001283747,2.804
