A_X,A_Y,A_Z,B_X,B_Y,B_Z,C_X,C_Y,C_Z,time
1150.0,1000.0,1000.0,810.0,-770.0,660.0,1049.33,-687.57,1073.59,7.123
1150.0,1000.0,1000.0,810.0,-770.0,660.0,891.76,916.77,1153.91,6.899
1150.0,1000.0,1000.0,810.0,-770.0,660.0,953.47,24.97,1279.05,6.247
1150.0,1000.0,1000.0,810.0,-770.0,660.0,1091.49,901.02,1158.11,6.051
1150.0,1000.0,1000.0,810.0,-770.0,660.0,952.42,256.73,1160.77,5.999
1150.0,1000.0,1000.0,810.0,-770.0,660.0,1005.71,-91.65,1116.66,5.987
1150.0,1000.0,1000.0,810.0,-770.0,660.0,1040.38,559.75,1171.72,5.947
1150.0,1000.0,1000.0,810.0,-770.0,660.0,914.45,219.12,1059.25,5.935
1150.0,1000.0,1000.0,810.0,-770.0,660.0,857.82,142.56,1087.65,5.919
1150.0,1000.0,1000.0,810.0,-770.0,660.0,910.25,-227.56,1056.79,5.911
1150.0,1000.0,1000.0,810.0,-770.0,660.0,999.37,-424.9,1076.23,5.907
1150.0,1000.0,1000.0,810.0,-770.0,660.0,959.88,-697.69,994.26,5.903
1150.0,1000.0,1000.0,810.0,-770.0,660.0,977.57,-228.04,1134.74,5.847
1150.0,1000.0,1000.0,810.0,-770.0,660.0,1037.43,182.69,1161.1,5.791
1150.0,1000.0,1000.0,810.0,-770.0,660.0,1047.7,865.79,1299.02,5.755
1150.0,1000.0,1000.0,810.0,-770.0,660.0,860.01,-661.71,950.73,5.727
1150.0,1000.0,1000.0,810.0,-770.0,660.0,831.2,506.19,1075.17,5.723
1150.0,1000.0,1000.0,810.0,-770.0,660.0,1114.01,-464.57,1142.23,5.711
1150.0,1000.0,1000.0,810.0,-770.0,660.0,979.84,-618.77,1179.42,5.707
1150.0,1000.0,1000.0,810.0,-770.0,660.0,957.11,-23.61,1387.08,5.691
1150.0,1000.0,1000.0,810.0,-770.0,660.0,891.51,-220.51,1183.83,5.447
1150.0,1000.0,1000.0,810.0,-770.0,660.0,942.73,-573.62,1071.3,5.415
1150.0,1000.0,1000.0,810.0,-770.0,660.0,829.28,804.24,1108.79,5.375
1150.0,1000.0,1000.0,810.0,-770.0,660.0,836.43,-369.91,1151.98,5.315
1150.0,1000.0,1000.0,810.0,-770.0,660.0,1006.78,-462.42,1163.47,4.82
1150.0,1000.0,1000.0,810.0,-770.0,660.0,1043.65,-584.09,1016.1,4.78
1150.0,1000.0,1000.0,810.0,-770.0,660.0,1012.83,-439.18,1118.62,4.652
1150.0,1000.0,1000.0,810.0,-770.0,660.0,952.14,-274.79,1213.53,4.648
1150.0,1000.0,1000.0,810.0,-770.0,660.0,937.58,666.53,1191.75,4.64
1150.0,1000.0,1000.0,810.0,-770.0,660.0,993.14,-391.79,1145.54,4.636
1150.0,1000.0,1000.0,810.0,-770.0,660.0,923.64,-259.8,1207.29,4.624
1150.0,1000.0,1000.0,810.0,-770.0,660.0,951.74,-509.11,1029.8,4.572
1150.0,1000.0,1000.0,810.0,-770.0,660.0,854.76,-58.24,1220.07,4.548
1150.0,1000.0,1000.0,810.0,-770.0,660.0,1018.17,-177.57,1209.28,4.524
1150.0,1000.0,1000.0,810.0,-770.0,660.0,820.6,-120.98,1172.53,4.512
1150.0,1000.0,1000.0,810.0,-770.0,660.0,844.56,108.07,1196.62,4.46
1150.0,1000.0,1000.0,810.0,-770.0,660.0,878.64,459.67,1171.31,4.448
1150.0,1000.0,1000.0,810.0,-770.0,660.0,1073.48,-195.76,1153.08,4.416
1150.0,1000.0,1000.0,810.0,-770.0,660.0,936.98,-256.44,1112.58,4.404
1150.0,1000.0,1000.0,810.0,-770.0,660.0,1004.49,804.25,1062.39,4.384
1150.0,1000.0,1000.0,810.0,-770.0,660.0,909.66,35.58,1175.79,4.376
1150.0,1000.0,1000.0,810.0,-770.0,660.0,953.23,-162.95,1127.7,4.356
1150.0,1000.0,1000.0,810.0,-770.0,660.0,870.64,-247.16,1066.53,4.34
1150.0,1000.0,1000.0,810.0,-770.0,660.0,1012.73,-361.19,1035.86,4.332
1150.0,1000.0,1000.0,810.0,-770.0,660.0,1072.41,-239.25,1088.95,4.324
1150.0,1000.0,1000.0,810.0,-770.0,660.0,1064.28,-24.64,1154.43,4.312
1150.0,1000.0,1000.0,810.0,-770.0,660.0,956.32,283.95,1163.59,4.3
1150.0,1000.0,1000.0,810.0,-770.0,660.0,942.92,-262.55,1056.14,4.292
1150.0,1000.0,1000.0,810.0,-770.0,660.0,823.46,562.49,973.21,4.292
1150.0,1000.0,1000.0,810.0,-770.0,660.0,1013.84,199.8,1169.08,4.284
1150.0,1000.0,1000.0,810.0,-770.0,660.0,940.29,696.89,1036.49,4.28
1150.0,1000.0,1000.0,810.0,-770.0,660.0,941.58,-152.64,1087.69,4.276
1150.0,1000.0,1000.0,810.0,-770.0,660.0,1035.78,57.86,1135.24,4.248
1150.0,1000.0,1000.0,810.0,-770.0,660.0,1127.98,817.01,1076.49,4.244
1150.0,1000.0,1000.0,810.0,-770.0,660.0,1042.39,-74.39,1105.9,4.244
1150.0,1000.0,1000.0,810.0,-770.0,660.0,898.94,-230.81,1031.24,4.24
1150.0,1000.0,1000.0,810.0,-770.0,660.0,1059.52,-141.27,1084.32,4.24
1150.0,1000.0,1000.0,810.0,-770.0,660.0,1040.91,572.66,1123.37,4.232
1150.0,1000.0,1000.0,810.0,-770.0,660.0,964.43,397.8,1123.68,4.232
1150.0,1000.0,1000.0,810.0,-770.0,660.0,842.23,254.97,1055.63,4.232
1150.0,1000.0,1000.0,810.0,-770.0,660.0,1036.5,70.21,1129.32,4.232
1150.0,1000.0,1000.0,810.0,-770.0,660.0,966.67,-51.74,1094.25,4.228
1150.0,1000.0,1000.0,810.0,-770.0,660.0,955.06,343.07,1117.56,4.224
1150.0,1000.0,1000.0,810.0,-770.0,660.0,991.27,547.93,1097.25,4.208
1150.0,1000.0,1000.0,810.0,-770.0,660.0,1025.37,402.23,1129.93,4.208
1150.0,1000.0,1000.0,810.0,-770.0,660.0,983.47,41.27,1095.36,4.196
1150.0,1000.0,1000.0,810.0,-770.0,660.0,1074.66,267.31,1132.41,4.196
1150.0,1000.0,1000.0,810.0,-770.0,660.0,863.32,-290.07,965.09,4.188
1150.0,1000.0,1000.0,810.0,-770.0,660.0,1011.74,188.02,1110.86,4.18
1150.0,1000.0,1000.0,810.0,-770.0,660.0,869.35,93.39,1040.31,4.176
1150.0,1000.0,1000.0,810.0,-770.0,660.0,893.92,318.72,1051.51,4.176
1150.0,1000.0,1000.0,810.0,-770.0,660.0,940.81,123.36,1078.29,4.172
1150.0,1000.0,1000.0,810.0,-770.0,660.0,913.91,215.65,1063.44,4.164
1150.0,1000.0,1000.0,810.0,-770.0,660.0,1067.37,70.15,1090.23,4.164
1150.0,1000.0,1000.0,810.0,-770.0,660.0,949.23,254.79,1079.58,4.16
1150.0,1000.0,1000.0,810.0,-770.0,660.0,1085.33,407.66,1113.09,4.156
1150.0,1000.0,1000.0,810.0,-770.0,660.0,885.12,166.3,1029.78,4.144
1150.0,1000.0,1000.0,810.0,-770.0,660.0,969.44,289.54,1078.8,4.144
1150.0,1000.0,1000.0,810.0,-770.0,660.0,919.72,335.93,1046.19,4.144
1150.0,1000.0,1000.0,810.0,-770.0,660.0,1015.09,66.34,1065.15,4.136
1150.0,1000.0,1000.0,810.0,-770.0,660.0,912.86,-19.47,1005.75,4.112
1150.0,1000.0,1000.0,810.0,-770.0,660.0,1045.24,25.64,1042.11,4.104
1150.0,1000.0,1000.0,810.0,-770.0,660.0,1108.77,245.09,1074.58,4.104
1150.0,1000.0,1000.0,810.0,-770.0,660.0,978.61,155.29,1040.03,4.092
1150.0,1000.0,1000.0,810.0,-770.0,660.0,1037.96,518.83,1057.87,4.092
1150.0,1000.0,1000.0,810.0,-770.0,660.0,1029.74,104.79,1040.35,4.084
1150.0,1000.0,1000.0,810.0,-770.0,660.0,962.83,203.43,1021.8,4.076
1150.0,1000.0,1000.0,810.0,-770.0,660.0,1042.66,160.45,1044.56,4.076
1150.0,1000.0,1000.0,810.0,-770.0,660.0,1079.06,-61.19,994.0,4.072
1150.0,1000.0,1000.0,810.0,-770.0,660.0,1123.09,96.07,1018.51,4.068
1150.0,1000.0,1000.0,810.0,-770.0,660.0,929.41,540.4,914.33,4.048
1150.0,1000.0,1000.0,810.0,-770.0,660.0,944.55,-161.18,908.26,4.008
1150.0,1000.0,1000.0,810.0,-770.0,660.0,1014.01,716.04,913.93,4.0
1150.0,1000.0,1000.0,810.0,-770.0,660.0,1038.01,27.14,948.13,3.992
1150.0,1000.0,1000.0,810.0,-770.0,660.0,1112.19,130.49,943.24,3.992
1150.0,1000.0,1000.0,810.0,-770.0,660.0,1003.94,-137.05,912.76,3.992
1150.0,1000.0,1000.0,810.0,-770.0,660.0,1145.46,418.16,973.23,3.984
1230.0,650.0,1200.0,1210.0,-250.0,480.0,1227.55,126.74,1400.54,3.956
1230.0,650.0,1200.0,1210.0,-250.0,480.0,1213.45,251.97,1145.45,3.956
1230.0,650.0,1200.0,1210.0,-250.0,480.0,1229.21,288.11,1314.22,3.956
1230.0,650.0,1200.0,1210.0,-250.0,480.0,1216.9,-14.09,1254.47,3.956
1230.0,650.0,1200.0,1210.0,-250.0,480.0,1219.68,65.26,1415.1,3.956
1230.0,650.0,1200.0,1210.0,-250.0,480.0,1220.23,176.67,1014.45,3.956
1230.0,650.0,1200.0,1210.0,-250.0,480.0,1214.59,63.32,1325.93,3.956
1230.0,650.0,1200.0,1210.0,-250.0,480.0,1219.22,486.87,1718.4,3.956
1230.0,650.0,1200.0,1210.0,-250.0,480.0,1215.72,230.94,1353.85,3.956
1230.0,650.0,1200.0,1210.0,-250.0,480.0,1213.38,-146.2,1455.6,3.956
1230.0,650.0,1200.0,1210.0,-250.0,480.0,1227.25,481.03,1402.19,3.956
1230.0,650.0,1200.0,1210.0,-250.0,480.0,1215.95,174.91,1413.31,3.956
1230.0,650.0,1200.0,1210.0,-250.0,480.0,1224.9,371.06,776.75,3.956
1230.0,650.0,1200.0,1210.0,-250.0,480.0,1228.69,577.09,1339.58,3.956
1230.0,650.0,1200.0,1210.0,-250.0,480.0,1225.17,88.67,1339.07,3.956
1230.0,650.0,1200.0,1210.0,-250.0,480.0,1220.28,-168.58,1070.25,3.956
